Tum Ogrenciler:
Ad: selver, Numara: 102, Vize: 98, 2. Sinav: 82, Odev: 79, Final: 96, Yoklama: 14
Ad: oğuz, Numara: 105, Vize: 33, 2. Sinav: 55, Odev: 35, Final: 84, Yoklama: 12
Ad: Eren, Numara: 111, Vize: 75, 2. Sinav: 35, Odev: 90, Final: 64, Yoklama: 12
Ad: Esma, Numara: 134, Vize: 34, 2. Sinav: 76, Odev: 45, Final: 76, Yoklama: 11
Ad: Osman, Numara: 144, Vize: 39, 2. Sinav: 3, Odev: 40, Final: 13, Yoklama: 5
Ad: ihsan, Numara: 112, Vize: 77, 2. Sinav: 66, Odev: 55, Final: 44, Yoklama: 13
Ad: oğuz, Numara: 105, Vize: 33, 2. Sinav: 55, Odev: 35, Final: 94, Yoklama: 12
Ad: polat, Numara: 117, Vize: 24, 2. Sinav: 58, Odev: 98, Final: 42, Yoklama: 11
Ad: mert, Numara: 123, Vize: 15, 2. Sinav: 75, Odev: 90, Final: 72, Yoklama: 9
Ad: yusuf, Numara: 124, Vize: 80, 2. Sinav: 75, Odev: 80, Final: 80, Yoklama: 3
Ad: zübeyde, Numara: 127, Vize: 82, 2. Sinav: 8, Odev: 83, Final: 90, Yoklama: 4
Ad: Esma, Numara: 134, Vize: 34, 2. Sinav: 76, Odev: 45, Final: 76, Yoklama: 11
Ad: Osman, Numara: 144, Vize: 39, 2. Sinav: 3, Odev: 40, Final: 13, Yoklama: 5
Ad: mehmet, Numara: 156, Vize: 85, 2. Sinav: 100, Odev: 40, Final: 35, Yoklama: 3
Ad: safiye, Numara: 166, Vize: 52, 2. Sinav: 74, Odev: 55, Final: 72, Yoklama: 8
Ad: hasan, Numara: 174, Vize: 51, 2. Sinav: 45, Odev: 52, Final: 45, Yoklama: 12
Ad: arda, Numara: 178, Vize: 72, 2. Sinav: 53, Odev: 47, Final: 74, Yoklama: 13
Ad: mustafa, Numara: 210, Vize: 29, 2. Sinav: 99, Odev: 16, Final: 64, Yoklama: 7
Ad: inrahim, Numara: 216, Vize: 36, 2. Sinav: 85, Odev: 97, Final: 90, Yoklama: 12
Ad: Ahmed, Numara: 222, Vize: 54, 2. Sinav: 65, Odev: 34, Final: 12, Yoklama: 8
Ad: ela, Numara: 225, Vize: 43, 2. Sinav: 51, Odev: 3, Final: 1, Yoklama: 3
Ad: Leyla, Numara: 226, Vize: 85, 2. Sinav: 97, Odev: 12, Final: 4, Yoklama: 13
Ad: nuri, Numara: 230, Vize: 23, 2. Sinav: 22, Odev: 34, Final: 51, Yoklama: 7
Ad: neşe, Numara: 231, Vize: 29, 2. Sinav: 68, Odev: 84, Final: 88, Yoklama: 12
Ad: kadir, Numara: 237, Vize: 85, 2. Sinav: 32, Odev: 79, Final: 42, Yoklama: 9
Ad: yasin, Numara: 246, Vize: 87, 2. Sinav: 73, Odev: 86, Final: 90, Yoklama: 14
Ad: zeliha, Numara: 254, Vize: 12, 2. Sinav: 95, Odev: 0, Final: 100, Yoklama: 8
Ad: salim, Numara: 255, Vize: 95, 2. Sinav: 95, Odev: 95, Final: 95, Yoklama: 13
Ad: emre, Numara: 258, Vize: 60, 2. Sinav: 70, Odev: 80, Final: 50, Yoklama: 14
Ad: idris, Numara: 261, Vize: 60, 2. Sinav: 42, Odev: 80, Final: 72, Yoklama: 1
Ad: elif, Numara: 275, Vize: 100, 2. Sinav: 63, Odev: 48, Final: 75, Yoklama: 11
Ad: irfan, Numara: 291, Vize: 2, 2. Sinav: 77, Odev: 97, Final: 57, Yoklama: 4
Ad: nuriye, Numara: 297, Vize: 92, 2. Sinav: 83, Odev: 49, Final: 4, Yoklama: 7
Ad: doruk, Numara: 303, Vize: 54, 2. Sinav: 79, Odev: 34, Final: 84, Yoklama: 1
Ad: yavuz, Numara: 313, Vize: 52, 2. Sinav: 97, Odev: 27, Final: 95, Yoklama: 8
Ad: furkan, Numara: 321, Vize: 5, 2. Sinav: 10, Odev: 100, Final: 85, Yoklama: 10
Ad: selin, Numara: 326, Vize: 45, 2. Sinav: 36, Odev: 100, Final: 63, Yoklama: 13
Ad: İhsan, Numara: 327, Vize: 70, 2. Sinav: 65, Odev: 90, Final: 90, Yoklama: 13
Ad: melike, Numara: 330, Vize: 45, 2. Sinav: 78, Odev: 86, Final: 50, Yoklama: 14
Ad: ismail, Numara: 334, Vize: 81, 2. Sinav: 12, Odev: 25, Final: 91, Yoklama: 9
Ad: Polat, Numara: 340, Vize: 100, 2. Sinav: 100, Odev: 100, Final: 100, Yoklama: 14
Ad: semih, Numara: 342, Vize: 54, 2. Sinav: 23, Odev: 31, Final: 85, Yoklama: 6
Ad: betül, Numara: 354, Vize: 75, 2. Sinav: 92, Odev: 76, Final: 41, Yoklama: 10
Ad: mahmut, Numara: 363, Vize: 88, 2. Sinav: 22, Odev: 72, Final: 25, Yoklama: 3
Ad: mehmet, Numara: 376, Vize: 91, 2. Sinav: 96, Odev: 75, Final: 43, Yoklama: 5
Ad: emir, Numara: 377, Vize: 45, 2. Sinav: 38, Odev: 99, Final: 45, Yoklama: 9
Ad: esma, Numara: 379, Vize: 54, 2. Sinav: 34, Odev: 55, Final: 78, Yoklama: 8
Ad: salih, Numara: 384, Vize: 20, 2. Sinav: 4, Odev: 9, Final: 6, Yoklama: 4
Ad: nazlı, Numara: 392, Vize: 81, 2. Sinav: 43, Odev: 53, Final: 36, Yoklama: 11
